#Assembly 1	Assembly 2
A01p00020.1_BnaDARv10-PA	CDY61895.1
A08p06470.1_BnaDARv10-PA	CDY47860.1
A08p06480.1_BnaDARv10-PA	CDY29490.1
A08p06490.1_BnaDARv10-PA	CDY47864.1
A08p06500.1_BnaDARv10-PA	CDY58803.1
A08p06510.1_BnaDARv10-PA	CDY47308.1
A08p06520.1_BnaDARv10-PA	CDY47309.1
A08p06530.1_BnaDARv10-PA	CDY69223.1
A08p06540.1_BnaDARv10-PA	CDY47311.1
A08p06560.1_BnaDARv10-PA	CDY47313.1
A08p06580.1_BnaDARv10-PA	CDY47314.1
A08p06590.1_BnaDARv10-PA	CDY47315.1
A08p06600.1_BnaDARv10-PA	CDY47316.1
A08p06610.1_BnaDARv10-PA	CDY47319.1
A08p06630.1_BnaDARv10-PA	CDY51373.1
A08p06640.1_BnaDARv10-PA	CDY71442.1
A08p06650.1_BnaDARv10-PA	CDY47320.1
A08p06680.1_BnaDARv10-PA	CDY43698.1
A08p06690.1_BnaDARv10-PA	CDY43699.1
A08p06700.1_BnaDARv10-PA	CDY43700.1
A08p06720.1_BnaDARv10-PA	CDY43701.1
A08p06730.1_BnaDARv10-PA	CDY43703.1
A08p06740.1_BnaDARv10-PA	CDY43704.1
A08p06760.1_BnaDARv10-PA	CDY43705.1
A08p06770.1_BnaDARv10-PA	CDY43706.1
A08p06780.1_BnaDARv10-PA	CDY43707.1
A08p06790.1_BnaDARv10-PA	CDY43708.1
A08p06800.1_BnaDARv10-PA	CDY43710.1
A08p06810.1_BnaDARv10-PA	CDY43713.1
A08p06850.1_BnaDARv10-PA	CDY43715.1
A08p06900.1_BnaDARv10-PA	CDY66382.1
A08p07010.1_BnaDARv10-PA	CDY65431.1
A08p07020.1_BnaDARv10-PA	CDY43689.1
A08p07040.1_BnaDARv10-PA	CDY61168.1
A08p07070.1_BnaDARv10-PA	CDY34548.1
A08p07080.1_BnaDARv10-PA	CDY34547.1
A08p07110.1_BnaDARv10-PA	CDY34545.1
A08p07140.1_BnaDARv10-PA	CDY34541.1
A08p07170.1_BnaDARv10-PA	CDY34540.1
A08p07190.1_BnaDARv10-PA	CDY34538.1
A08p07200.1_BnaDARv10-PA	CDY34537.1
A08p07210.1_BnaDARv10-PA	CDY34536.1
A08p07220.1_BnaDARv10-PA	CDY34535.1
A08p07240.1_BnaDARv10-PA	CDY34533.1
A08p07260.1_BnaDARv10-PA	CDY34532.1
A08p07330.1_BnaDARv10-PA	CDY34531.1
A08p07340.1_BnaDARv10-PA	CDY34530.1
A08p07350.1_BnaDARv10-PA	CDY34529.1
A08p07360.1_BnaDARv10-PA	CDY34527.1
A08p07390.1_BnaDARv10-PA	CDY48939.1
A08p07410.1_BnaDARv10-PA	CDY48940.1
A08p07420.1_BnaDARv10-PA	CDY48941.1
A08p07460.1_BnaDARv10-PA	CDY48944.1
A08p07470.1_BnaDARv10-PA	CDY48945.1
A08p07510.1_BnaDARv10-PA	CDY71890.1
A08p07550.1_BnaDARv10-PA	CDY35805.1
A08p07590.1_BnaDARv10-PA	CDY35803.1
A08p07650.1_BnaDARv10-PA	CDY35800.1
A08p07660.1_BnaDARv10-PA	CDY35799.1
A08p07670.1_BnaDARv10-PA	CDY35798.1
A08p07700.1_BnaDARv10-PA	CDY35795.1
A08p07730.1_BnaDARv10-PA	CDY35793.1
A08p07740.1_BnaDARv10-PA	CDY35792.1
A08p07750.1_BnaDARv10-PA	CDY35791.1
A08p07760.1_BnaDARv10-PA	CDY35790.1
A08p07800.1_BnaDARv10-PA	CDY48820.1
A08p07900.1_BnaDARv10-PA	CDY47434.1
A08p07930.1_BnaDARv10-PA	CDY41886.1
A08p07940.1_BnaDARv10-PA	CDY41885.1
A08p07950.1_BnaDARv10-PA	CDY41883.1
A08p07960.1_BnaDARv10-PA	CDY71943.1
A08p07970.1_BnaDARv10-PA	CDY41881.1
A08p08000.1_BnaDARv10-PA	CDY41878.1
A08p08050.1_BnaDARv10-PA	CDY41873.1
A08p08080.1_BnaDARv10-PA	CDY41870.1
A08p08090.1_BnaDARv10-PA	CDY41869.1
A08p08100.1_BnaDARv10-PA	CDY41868.1
A08p08150.1_BnaDARv10-PA	CDY41863.1
A08p08160.1_BnaDARv10-PA	CDY41862.1
A08p08180.1_BnaDARv10-PA	CDY66862.1
A08p08230.1_BnaDARv10-PA	CDY46470.1
A08p08240.1_BnaDARv10-PA	CDY46469.1
A08p08250.1_BnaDARv10-PA	CDY46468.1
A08p08260.1_BnaDARv10-PA	CDY46467.1
A08p08270.1_BnaDARv10-PA	CDY46466.1
A08p08280.1_BnaDARv10-PA	CDY46465.1
A08p08290.1_BnaDARv10-PA	CDY46464.1
A08p08310.1_BnaDARv10-PA	CDY46463.1
A08p08320.1_BnaDARv10-PA	CDY46461.1
A08p08370.1_BnaDARv10-PA	CDY71890.1
A08p08380.1_BnaDARv10-PA	CDY46456.1
A08p08390.1_BnaDARv10-PA	CDY46455.1
A08p08400.1_BnaDARv10-PA	CDY46454.1
A08p08410.1_BnaDARv10-PA	CDY46453.1
A08p08420.1_BnaDARv10-PA	CDY46452.1
A08p08430.1_BnaDARv10-PA	CDY46451.1
A08p08460.1_BnaDARv10-PA	CDY46449.1
A08p08580.1_BnaDARv10-PA	CDY36046.1
A08p08620.1_BnaDARv10-PA	CDY44962.1
A08p08660.1_BnaDARv10-PA	CDY44965.1
A08p08690.1_BnaDARv10-PA	CDY44966.1
A08p08710.1_BnaDARv10-PA	CDY44968.1
A08p08750.1_BnaDARv10-PA	CDY44969.1
A08p08760.1_BnaDARv10-PA	CDY44971.1
A08p08780.1_BnaDARv10-PA	CDY44972.1
A08p08800.1_BnaDARv10-PA	CDY63269.1
A08p08830.1_BnaDARv10-PA	CDY63275.1
A08p08850.1_BnaDARv10-PA	CDY66778.1
A08p08910.1_BnaDARv10-PA	CDY71338.1
A08p08930.1_BnaDARv10-PA	CDY54813.1
A08p08940.1_BnaDARv10-PA	CDY54812.1
A08p08950.1_BnaDARv10-PA	CDY32279.1
A08p08990.1_BnaDARv10-PA	CDY67072.1
A08p09000.1_BnaDARv10-PA	CDY66060.1
A08p09010.1_BnaDARv10-PA	CDY66059.1
A08p09020.1_BnaDARv10-PA	CDY66058.1
A08p09060.1_BnaDARv10-PA	CDY44666.1
A08p09080.1_BnaDARv10-PA	CDY21366.1
A08p09090.1_BnaDARv10-PA	CDY44664.1
A08p09100.1_BnaDARv10-PA	CDY44663.1
A08p09120.1_BnaDARv10-PA	CDY44662.1
A08p09160.1_BnaDARv10-PA	CDY44658.1
A08p09170.1_BnaDARv10-PA	CDY08087.1
A08p09200.1_BnaDARv10-PA	CDY44653.1
A08p09220.1_BnaDARv10-PA	CDY44652.1
A08p09230.1_BnaDARv10-PA	CDY44651.1
A08p09280.1_BnaDARv10-PA	CDY44648.1
A08p09290.1_BnaDARv10-PA	CDY44647.1
A08p09300.1_BnaDARv10-PA	CDY41739.1
A08p09310.1_BnaDARv10-PA	CDY41740.1
A08p09320.1_BnaDARv10-PA	CDY41741.1
A08p09330.1_BnaDARv10-PA	CDY41742.1
A08p09340.1_BnaDARv10-PA	CDY41743.1
A08p09370.1_BnaDARv10-PA	CDY41745.1
A08p09380.1_BnaDARv10-PA	CDY41746.1
A08p09410.1_BnaDARv10-PA	CDY41748.1
A08p09440.1_BnaDARv10-PA	CDY41750.1
A08p09450.1_BnaDARv10-PA	CDY41751.1
A08p09460.1_BnaDARv10-PA	CDY41752.1
A08p09470.1_BnaDARv10-PA	CDY41753.1
A08p09480.1_BnaDARv10-PA	CDY41754.1
A08p09490.1_BnaDARv10-PA	CDY41755.1
A08p09540.1_BnaDARv10-PA	CDY41759.1
A08p09550.1_BnaDARv10-PA	CDY41760.1
A08p09570.1_BnaDARv10-PA	CDY41761.1
A08p09580.1_BnaDARv10-PA	CDY41762.1
A08p09600.1_BnaDARv10-PA	CDY41763.1
A08p09610.1_BnaDARv10-PA	CDY41764.1
A08p09630.1_BnaDARv10-PA	CDY41766.1
A08p09640.1_BnaDARv10-PA	CDY12401.1
A08p09650.1_BnaDARv10-PA	CDY41769.1
A08p09690.1_BnaDARv10-PA	CDY60522.1
A08p09700.1_BnaDARv10-PA	CDY60523.1
A08p09710.1_BnaDARv10-PA	CDY60524.1
A08p09750.1_BnaDARv10-PA	CDY67420.1
A08p09770.1_BnaDARv10-PA	CDY49361.1
A08p09790.1_BnaDARv10-PA	CDY49361.1
A08p09810.1_BnaDARv10-PA	CDY49363.1
A08p09830.1_BnaDARv10-PA	CDY49365.1
A08p09840.1_BnaDARv10-PA	CDY49366.1
A08p09870.1_BnaDARv10-PA	CDY67111.1
A08p09920.1_BnaDARv10-PA	CDY66421.1
A08p09930.1_BnaDARv10-PA	CDY69162.1
A08p09970.1_BnaDARv10-PA	CDY47561.1
A08p09980.1_BnaDARv10-PA	CDY47560.1
A08p10000.1_BnaDARv10-PA	CDY47559.1
A08p10020.1_BnaDARv10-PA	CDY47557.1
A08p10030.1_BnaDARv10-PA	CDY47556.1
A08p10040.1_BnaDARv10-PA	CDY47555.1
A08p10060.1_BnaDARv10-PA	CDY47554.1
A08p10070.1_BnaDARv10-PA	CDY12388.1
A08p10080.1_BnaDARv10-PA	CDY47551.1
A08p10090.1_BnaDARv10-PA	CDY47550.1
A08p10100.1_BnaDARv10-PA	CDY47549.1
A08p10110.1_BnaDARv10-PA	CDY47548.1
A08p10120.1_BnaDARv10-PA	CDY27103.1
A08p10130.1_BnaDARv10-PA	CDY27104.1
A08p10150.1_BnaDARv10-PA	CDY27106.1
A08p10160.1_BnaDARv10-PA	CDY27107.1
A08p10190.1_BnaDARv10-PA	CDY27111.1
A08p10200.1_BnaDARv10-PA	CDY27112.1
A08p10240.1_BnaDARv10-PA	CDY27113.1
A08p10250.1_BnaDARv10-PA	CDY27114.1
A08p10270.1_BnaDARv10-PA	CDY27119.1
A08p10280.1_BnaDARv10-PA	CDY27120.1
A08p10290.1_BnaDARv10-PA	CDY27121.1
A08p10300.1_BnaDARv10-PA	CDY27122.1
A08p10320.1_BnaDARv10-PA	CDY27124.1
A08p10330.1_BnaDARv10-PA	CDY27125.1
A08p10340.1_BnaDARv10-PA	CDY27126.1
A08p10360.1_BnaDARv10-PA	CDY27127.1
A08p10400.1_BnaDARv10-PA	CDY27131.1
A08p10410.1_BnaDARv10-PA	CDY27132.1
A08p10420.1_BnaDARv10-PA	CDY27133.1
A08p10440.1_BnaDARv10-PA	CDY27134.1
A08p10480.1_BnaDARv10-PA	CDY27142.1
A08p10510.1_BnaDARv10-PA	CDY27145.1
A08p10530.1_BnaDARv10-PA	CDY27148.1
A08p10550.1_BnaDARv10-PA	CDY27149.1
A08p10560.1_BnaDARv10-PA	CDY27150.1
A08p10570.1_BnaDARv10-PA	CDY27151.1
A08p10600.1_BnaDARv10-PA	CDY27153.1
A08p10610.1_BnaDARv10-PA	CDY27154.1
A08p10620.1_BnaDARv10-PA	CDY12428.1
A08p10630.1_BnaDARv10-PA	CDY27156.1
A08p10640.1_BnaDARv10-PA	CDY27157.1
A08p10680.1_BnaDARv10-PA	CDY27159.1
A08p10690.1_BnaDARv10-PA	CDY27160.1
A08p10740.1_BnaDARv10-PA	CDY12441.1
A08p10750.1_BnaDARv10-PA	CDY27165.1
A08p10770.1_BnaDARv10-PA	CDY27167.1
A08p10780.1_BnaDARv10-PA	CDY27168.1
A08p10790.1_BnaDARv10-PA	CDY27169.1
A08p10830.1_BnaDARv10-PA	CDY27171.1
A08p10850.1_BnaDARv10-PA	CDY52181.1
A08p10860.1_BnaDARv10-PA	CDY52182.1
A08p10880.1_BnaDARv10-PA	CDY52183.1
A08p10900.1_BnaDARv10-PA	CDY52184.1
A08p10910.1_BnaDARv10-PA	CDY52185.1
A08p10930.1_BnaDARv10-PA	CDY52188.1
A08p10980.1_BnaDARv10-PA	CDY66933.1
A08p10990.1_BnaDARv10-PA	CDY39760.1
A08p11000.1_BnaDARv10-PA	CDY52189.1
A08p11010.1_BnaDARv10-PA	CDY52190.1
A08p11030.1_BnaDARv10-PA	CDY47159.1
A08p11040.1_BnaDARv10-PA	CDY47158.1
A08p11050.1_BnaDARv10-PA	CDY47157.1
A08p11060.1_BnaDARv10-PA	CDY47156.1
A08p11070.1_BnaDARv10-PA	CDY12464.1
A08p11100.1_BnaDARv10-PA	CDY47153.1
A08p11110.1_BnaDARv10-PA	CDY47152.1
A08p11120.1_BnaDARv10-PA	CDY47151.1
A08p11130.1_BnaDARv10-PA	CDY69326.1
A08p11140.1_BnaDARv10-PA	CDY72677.1
A08p11150.1_BnaDARv10-PA	CDY47149.1
A08p11160.1_BnaDARv10-PA	CDY47148.1
A08p11190.1_BnaDARv10-PA	CDY53735.1
A08p11210.1_BnaDARv10-PA	CDY53734.1
A08p11220.1_BnaDARv10-PA	CDY53733.1
A08p11250.1_BnaDARv10-PA	CDY53731.1
A08p11260.1_BnaDARv10-PA	CDY53730.1
A08p11280.1_BnaDARv10-PA	CDY53729.1
A08p11300.1_BnaDARv10-PA	CDY53728.1
A08p11340.1_BnaDARv10-PA	CDY53727.1
A08p11370.1_BnaDARv10-PA	CDY50685.1
A08p11380.1_BnaDARv10-PA	CDY50684.1
A08p11400.1_BnaDARv10-PA	CDY50683.1
A08p11440.1_BnaDARv10-PA	CDY50679.1
A08p11460.1_BnaDARv10-PA	CDY50677.1
A08p11470.1_BnaDARv10-PA	CDY50676.1
A08p11480.1_BnaDARv10-PA	CDY50675.1
A08p11520.1_BnaDARv10-PA	CDY22721.1
A08p11530.1_BnaDARv10-PA	CDY68436.1
A08p11540.1_BnaDARv10-PA	CDY22722.1
A08p11550.1_BnaDARv10-PA	CDY09041.1
A08p11560.1_BnaDARv10-PA	CDY22724.1
A08p11580.1_BnaDARv10-PA	CDY22726.1
A08p11600.1_BnaDARv10-PA	CDY22728.1
A08p11650.1_BnaDARv10-PA	CDY22732.1
A08p11660.1_BnaDARv10-PA	CDY22733.1
A08p11670.1_BnaDARv10-PA	CDY22734.1
A08p11680.1_BnaDARv10-PA	CDY22735.1
A08p11690.1_BnaDARv10-PA	CDY22736.1
A08p11720.1_BnaDARv10-PA	CDY69262.1
A08p11740.1_BnaDARv10-PA	CDY22737.1
A08p11750.1_BnaDARv10-PA	CDY22738.1
A08p11760.1_BnaDARv10-PA	CDY22739.1
A08p11770.1_BnaDARv10-PA	CDY22740.1
A08p11800.1_BnaDARv10-PA	CDY21979.1
A08p11830.1_BnaDARv10-PA	CDY22743.1
A08p11840.1_BnaDARv10-PA	CDY22744.1
A08p11850.1_BnaDARv10-PA	CDY09078.1
A08p11860.1_BnaDARv10-PA	CDY22746.1
A08p11870.1_BnaDARv10-PA	CDY54294.1
A08p11890.1_BnaDARv10-PA	CDY09081.1
A08p11900.1_BnaDARv10-PA	CDY10953.1
A08p11930.1_BnaDARv10-PA	CDY22753.1
A08p11940.1_BnaDARv10-PA	CDY22754.1
A08p11960.1_BnaDARv10-PA	CDY22756.1
A08p12000.1_BnaDARv10-PA	CDY22760.1
A08p12010.1_BnaDARv10-PA	CDY22761.1
A08p12020.1_BnaDARv10-PA	CDY69011.1
A08p12060.1_BnaDARv10-PA	CDY24919.1
A08p12070.1_BnaDARv10-PA	CDY24918.1
A08p12080.1_BnaDARv10-PA	CDY24917.1
A08p12100.1_BnaDARv10-PA	CDY24915.1
A08p12110.1_BnaDARv10-PA	CDY24914.1
A08p12140.1_BnaDARv10-PA	CDY70864.1
A08p12150.1_BnaDARv10-PA	CDY66109.1
A08p12170.1_BnaDARv10-PA	CDY66111.1
A08p12180.1_BnaDARv10-PA	CDY66112.1
A08p12200.1_BnaDARv10-PA	CDY70521.1
A08p12210.1_BnaDARv10-PA	CDY69435.1
A08p12240.1_BnaDARv10-PA	CDY22767.1
A08p12250.1_BnaDARv10-PA	CDY22768.1
A08p12260.1_BnaDARv10-PA	CDY22769.1
A08p12270.1_BnaDARv10-PA	CDY22770.1
A08p12280.1_BnaDARv10-PA	CDY22771.1
A08p12290.1_BnaDARv10-PA	CDY22772.1
A08p12300.1_BnaDARv10-PA	CDY42543.1
A08p12360.1_BnaDARv10-PA	CDY22775.1
A08p12390.1_BnaDARv10-PA	CDY22777.1
A08p12400.1_BnaDARv10-PA	CDY22778.1
A08p12410.1_BnaDARv10-PA	CDY22779.1
A08p12420.1_BnaDARv10-PA	CDY22780.1
A08p12450.1_BnaDARv10-PA	CDY22782.1
A08p12490.1_BnaDARv10-PA	CDY70913.1
A08p12510.1_BnaDARv10-PA	CDY65601.1
A08p12530.1_BnaDARv10-PA	CDY71661.1
A08p12540.1_BnaDARv10-PA	CDY68528.1
A08p12550.1_BnaDARv10-PA	CDY68527.1
A08p12560.1_BnaDARv10-PA	CDY68526.1
A08p12570.1_BnaDARv10-PA	CDY53640.1
A08p12590.1_BnaDARv10-PA	CDY53641.1
A08p12600.1_BnaDARv10-PA	CDY53642.1
A08p12610.1_BnaDARv10-PA	CDY53643.1
A08p12620.1_BnaDARv10-PA	CDY53644.1
A08p12630.1_BnaDARv10-PA	CDY53645.1
A08p12640.1_BnaDARv10-PA	CDY53646.1
A08p12650.1_BnaDARv10-PA	CDY59531.1
A08p12680.1_BnaDARv10-PA	CDY70070.1
A08p12760.1_BnaDARv10-PA	CDY71414.1
A08p12780.1_BnaDARv10-PA	CDY43473.1
A08p12800.1_BnaDARv10-PA	CDY69842.1
A08p12870.1_BnaDARv10-PA	CDY43464.1
A08p12890.1_BnaDARv10-PA	CDY43459.1
A08p12920.1_BnaDARv10-PA	CDY58166.1
A08p12930.1_BnaDARv10-PA	CDY58167.1
A08p12940.1_BnaDARv10-PA	CDY58168.1
A08p12950.1_BnaDARv10-PA	CDY58169.1
A08p12980.1_BnaDARv10-PA	CDY58174.1
A08p13030.1_BnaDARv10-PA	CDY64014.1
A08p13040.1_BnaDARv10-PA	CDY64015.1
A08p13140.1_BnaDARv10-PA	CDY59531.1
A08p13160.1_BnaDARv10-PA	CDY27921.1
A08p13200.1_BnaDARv10-PA	CDY52558.1
A08p13240.1_BnaDARv10-PA	CDY52554.1
A08p13260.1_BnaDARv10-PA	CDY71131.1
A08p13280.1_BnaDARv10-PA	CDY54252.1
A08p13310.1_BnaDARv10-PA	CDY08866.1
A08p13360.1_BnaDARv10-PA	CDY66756.1
A08p13420.1_BnaDARv10-PA	CDY32194.1
A08p13430.1_BnaDARv10-PA	CDY08880.1
A08p13450.1_BnaDARv10-PA	CDY08882.1
A08p13460.1_BnaDARv10-PA	CDY08883.1
A08p13480.1_BnaDARv10-PA	CDY08886.1
A08p13540.1_BnaDARv10-PA	CDY08894.1
A08p13550.1_BnaDARv10-PA	CDY08895.1
A08p13580.1_BnaDARv10-PA	CDY08899.1
A08p13610.1_BnaDARv10-PA	CDY08902.1
A08p13680.1_BnaDARv10-PA	CDY34068.1
A08p13720.1_BnaDARv10-PA	CDY34065.1
A08p13730.1_BnaDARv10-PA	CDY71404.1
A08p13780.1_BnaDARv10-PA	CDY55785.1
A08p13790.1_BnaDARv10-PA	CDY55787.1
A08p13870.1_BnaDARv10-PA	CDY34059.1
A08p13910.1_BnaDARv10-PA	CDY34056.1
A08p13960.1_BnaDARv10-PA	CDY69647.1
A08p13980.1_BnaDARv10-PA	CDY09253.1
A08p14000.1_BnaDARv10-PA	CDY72559.1
A08p14060.1_BnaDARv10-PA	CDY09264.1
A08p14090.1_BnaDARv10-PA	CDY69914.1
A08p14120.1_BnaDARv10-PA	CDY09271.1
A08p14130.1_BnaDARv10-PA	CDY09272.1
A08p14150.1_BnaDARv10-PA	CDY09273.1
A08p14160.1_BnaDARv10-PA	CDY09274.1
A08p14230.1_BnaDARv10-PA	CDY09279.1
A08p14270.1_BnaDARv10-PA	CDY09282.1
A08p14320.1_BnaDARv10-PA	CDY09289.1
A08p14390.1_BnaDARv10-PA	CDY09301.1
A08p14450.1_BnaDARv10-PA	CDY09329.1
A08p14480.1_BnaDARv10-PA	CDY38554.1
A08p14490.1_BnaDARv10-PA	CDY10102.1
A08p14520.1_BnaDARv10-PA	CDY09311.1
A08p14580.1_BnaDARv10-PA	CDY68423.1
A08p14590.1_BnaDARv10-PA	CDY64551.1
A08p14600.1_BnaDARv10-PA	CDY64552.1
A08p14620.1_BnaDARv10-PA	CDY64556.1
A08p14630.1_BnaDARv10-PA	CDY64557.1
A08p14640.1_BnaDARv10-PA	CDY54559.1
A08p14660.1_BnaDARv10-PA	CDY69573.1
A08p14680.1_BnaDARv10-PA	CDY54561.1
A08p14700.1_BnaDARv10-PA	CDY54563.1
A08p14720.1_BnaDARv10-PA	CDY54565.1
A08p14740.1_BnaDARv10-PA	CDY54568.1
A08p14760.1_BnaDARv10-PA	CDY54571.1
A08p14840.1_BnaDARv10-PA	CDY31439.1
A08p14920.1_BnaDARv10-PA	CDY31433.1
A08p14940.1_BnaDARv10-PA	CDY31432.1
A08p14970.1_BnaDARv10-PA	CDY31429.1
A08p14980.1_BnaDARv10-PA	CDY31428.1
A08p15000.1_BnaDARv10-PA	CDY31424.1
A08p15030.1_BnaDARv10-PA	CDY31421.1
A08p15050.1_BnaDARv10-PA	CDY31420.1
A08p15090.1_BnaDARv10-PA	CDY47086.1
A08p15110.1_BnaDARv10-PA	CDY47090.1
A08p15120.1_BnaDARv10-PA	CDY47091.1
A08p15150.1_BnaDARv10-PA	CDY47093.1
A08p15160.1_BnaDARv10-PA	CDY68364.1
A08p15170.1_BnaDARv10-PA	CDY31397.1
A08p15250.1_BnaDARv10-PA	CDY65339.1
A08p15260.1_BnaDARv10-PA	CDY58485.1
A08p15270.1_BnaDARv10-PA	CDY57059.1
A08p15280.1_BnaDARv10-PA	CDY57060.1
A08p15330.1_BnaDARv10-PA	CDY57065.1
A08p15400.1_BnaDARv10-PA	CDY27411.1
A08p15410.1_BnaDARv10-PA	CDY27412.1
A08p15470.1_BnaDARv10-PA	CDY27419.1
A08p15480.1_BnaDARv10-PA	CDY27421.1
A08p15500.1_BnaDARv10-PA	CDY27427.1
A08p15510.1_BnaDARv10-PA	CDY27428.1
A08p15520.1_BnaDARv10-PA	CDY63837.1
A08p15530.1_BnaDARv10-PA	CDY27431.1
A08p15540.1_BnaDARv10-PA	CDY27434.1
A08p15570.1_BnaDARv10-PA	CDY27438.1
A08p15590.1_BnaDARv10-PA	CDY27443.1
A08p15600.1_BnaDARv10-PA	CDY27444.1
A08p15610.1_BnaDARv10-PA	CDY27445.1
A08p15620.1_BnaDARv10-PA	CDY27446.1
A08p15630.1_BnaDARv10-PA	CDY27447.1
A08p15680.1_BnaDARv10-PA	CDY27450.1
A08p15740.1_BnaDARv10-PA	CDY66032.1
A08p15830.1_BnaDARv10-PA	CDY42181.1
A08p15920.1_BnaDARv10-PA	CDY42189.1
A08p15970.1_BnaDARv10-PA	CDY52685.1
A08p15980.1_BnaDARv10-PA	CDY52682.1
A08p15990.1_BnaDARv10-PA	CDY70587.1
A08p16010.1_BnaDARv10-PA	CDY55818.1
A08p16040.1_BnaDARv10-PA	CDY55821.1
A08p16070.1_BnaDARv10-PA	CDY50428.1
A08p16150.1_BnaDARv10-PA	CDY65231.1
A08p16160.1_BnaDARv10-PA	CDY68263.1
A08p16200.1_BnaDARv10-PA	CDY41375.1
A08p16210.1_BnaDARv10-PA	CDY69765.1
A08p16230.1_BnaDARv10-PA	CDY17532.1
A08p16240.1_BnaDARv10-PA	CDY66582.1
A08p16270.1_BnaDARv10-PA	CDY17529.1
A08p16280.1_BnaDARv10-PA	CDY17528.1
A08p16290.1_BnaDARv10-PA	CDY17527.1
A08p16350.1_BnaDARv10-PA	CDY69055.1
A08p16360.1_BnaDARv10-PA	CDY17511.1
A08p16370.1_BnaDARv10-PA	CDY40645.1
A08p16390.1_BnaDARv10-PA	CDY15019.1
A08p16410.1_BnaDARv10-PA	CDY17504.1
A08p16420.1_BnaDARv10-PA	CDY17503.1
A08p16460.1_BnaDARv10-PA	CDY71207.1
A08p16480.1_BnaDARv10-PA	CDY58810.1
A08p16490.1_BnaDARv10-PA	CDY58812.1
A08p16500.1_BnaDARv10-PA	CDY58813.1
A08p16510.1_BnaDARv10-PA	CDY58814.1
A08p16520.1_BnaDARv10-PA	CDY58815.1
A08p16530.1_BnaDARv10-PA	CDY17486.1
A08p16550.1_BnaDARv10-PA	CDY49915.1
A08p16600.1_BnaDARv10-PA	CDY63257.1
A08p16660.1_BnaDARv10-PA	CDY45327.1
A08p16670.1_BnaDARv10-PA	CDY69437.1
A08p16690.1_BnaDARv10-PA	CDY17473.1
A08p16700.1_BnaDARv10-PA	CDY17472.1
A08p16720.1_BnaDARv10-PA	CDY17470.1
A08p16760.1_BnaDARv10-PA	CDY17465.1
A08p16770.1_BnaDARv10-PA	CDY46243.1
A08p16800.1_BnaDARv10-PA	CDY46248.1
A08p16820.1_BnaDARv10-PA	CDY46249.1
A08p16860.1_BnaDARv10-PA	CDY46251.1
A08p16890.1_BnaDARv10-PA	CDY46256.1
A08p17020.1_BnaDARv10-PA	CDY57739.1
A08p17040.1_BnaDARv10-PA	CDY57741.1
A08p17050.1_BnaDARv10-PA	CDY57743.1
A08p17070.1_BnaDARv10-PA	CDY65498.1
A08p17100.1_BnaDARv10-PA	CDY46368.1
A08p17110.1_BnaDARv10-PA	CDY71299.1
A08p17120.1_BnaDARv10-PA	CDY51959.1
A08p17130.1_BnaDARv10-PA	CDY51958.1
A08p17140.1_BnaDARv10-PA	CDY51957.1
A08p17170.1_BnaDARv10-PA	CDY51865.1
A08p17180.1_BnaDARv10-PA	CDY51953.1
A08p17210.1_BnaDARv10-PA	CDY51951.1
A08p17230.1_BnaDARv10-PA	CDY51948.1
A08p17240.1_BnaDARv10-PA	CDY69785.1
A08p17280.1_BnaDARv10-PA	CDY51944.1
A08p17290.1_BnaDARv10-PA	CDY51943.1
A08p17300.1_BnaDARv10-PA	CDY49380.1
A08p17310.1_BnaDARv10-PA	CDY66542.1
A08p17330.1_BnaDARv10-PA	CDY60239.1
A08p17340.1_BnaDARv10-PA	CDY28328.1
A08p17380.1_BnaDARv10-PA	CDY28321.1
A08p17400.1_BnaDARv10-PA	CDY28319.1
A08p17410.1_BnaDARv10-PA	CDY48436.1
A08p17430.1_BnaDARv10-PA	CDY28319.1
A08p17450.1_BnaDARv10-PA	CDY48437.1
A08p17460.1_BnaDARv10-PA	CDY48438.1
A08p17470.1_BnaDARv10-PA	CDY48439.1
A08p17480.1_BnaDARv10-PA	CDY48440.1
A08p17490.1_BnaDARv10-PA	CDY48441.1
A08p17510.1_BnaDARv10-PA	CDY48443.1
A08p17520.1_BnaDARv10-PA	CDY48444.1
A08p17530.1_BnaDARv10-PA	CDY48445.1
A08p17540.1_BnaDARv10-PA	CDY48447.1
A08p17580.1_BnaDARv10-PA	CDY48449.1
A08p17590.1_BnaDARv10-PA	CDY71713.1
A08p17610.1_BnaDARv10-PA	CDY72299.1
A08p17620.1_BnaDARv10-PA	CDY45042.1
A08p17630.1_BnaDARv10-PA	CDY45041.1
A08p17640.1_BnaDARv10-PA	CDY45039.1
A08p17660.1_BnaDARv10-PA	CDY45038.1
A08p17680.1_BnaDARv10-PA	CDY45037.1
A08p17690.1_BnaDARv10-PA	CDY45036.1
A08p17700.1_BnaDARv10-PA	CDY45035.1
A08p17720.1_BnaDARv10-PA	CDY45034.1
A08p17730.1_BnaDARv10-PA	CDY45033.1
A08p17740.1_BnaDARv10-PA	CDY45032.1
A08p17750.1_BnaDARv10-PA	CDY45031.1
A08p17760.1_BnaDARv10-PA	CDY28284.1
A08p17770.1_BnaDARv10-PA	CDY45029.1
A08p17780.1_BnaDARv10-PA	CDY45028.1
A08p17810.1_BnaDARv10-PA	CDY45025.1
A08p17820.1_BnaDARv10-PA	CDY45024.1
