#Query (assembly 1) 	 Query (assembly 2)	 Gene name (assembly 2)	UniProt ID (assembly 2)	EC number (assembly 2)
A01p00020.1_BnaDARv10-PA	CDY61895.1	BnaAnng17970D	A0A078JBT0	
A06p08560.1_BnaDARv10-PA	CDY19392.1	BnaC05g09010D	A0A078G2Z1	
A06p08580.1_BnaDARv10-PA	CDY10516.1	BnaC03g70980D	A0A078FAV4	
A06p08600.1_BnaDARv10-PA	CDY19394.1	BnaC05g09030D	A0A078G1N5	
A06p08610.1_BnaDARv10-PA	CDY19395.1	BnaC05g09040D	A0A078FYD0	
A06p08630.1_BnaDARv10-PA	CDY19398.1	BnaC05g09070D	A0A078G3W3	
A06p08640.1_BnaDARv10-PA	CDY19401.1	BnaC05g09100D	A0A078G244	
A06p08660.1_BnaDARv10-PA	CDY19402.1	BnaC05g09110D	A0A078G301	
A06p08700.1_BnaDARv10-PA	CDY66872.1	BnaAnng23140D	A0A078JNE1	
A06p08710.1_BnaDARv10-PA	CDY19406.1	BnaC05g09150D	A0A078G248	
A06p08790.1_BnaDARv10-PA	CDY19414.1	BnaC05g09230D	A0A078G1Q6	
A06p08800.1_BnaDARv10-PA	CDY19414.1	BnaC05g09230D	A0A078G1Q6	
A06p08830.1_BnaDARv10-PA	CDY19421.1	BnaC05g09300D	A0A078G265	
A06p08880.1_BnaDARv10-PA	CDY60261.1	BnaC05g49260D	A0A078J322	
A06p08900.1_BnaDARv10-PA	CDY69010.1	BnaA06g38120D	A0A078JRF6	
A06p08930.1_BnaDARv10-PA	CDY66607.1	BnaA06g38090D	A0A078JMK8	
A06p08940.1_BnaDARv10-PA	CDY66606.1	BnaA06g38080D	A0A078JLD1	
A06p08950.1_BnaDARv10-PA	CDY66605.1	BnaA06g38070D	A0A078JJF5	
A06p08990.1_BnaDARv10-PA	CDY57080.1	BnaCnng31600D	A0A078J1J3	
A06p09030.1_BnaDARv10-PA	CDY57076.1	BnaCnng31560D	A0A078J1R8	
A06p09070.1_BnaDARv10-PA	CDY57071.1	BnaCnng31520D	A0A078J3K6	
A06p09080.1_BnaDARv10-PA	CDY57070.1	BnaCnng31510D	A0A078J1R3	
A06p09130.1_BnaDARv10-PA	CDY30085.1	BnaC05g09350D	A0A078GUD3	
A06p09150.1_BnaDARv10-PA	CDY30084.1	BnaC05g09360D	A0A078GY89	
A06p09160.1_BnaDARv10-PA	CDY30083.1	BnaC05g09370D	A0A078GZS2	
A06p09190.1_BnaDARv10-PA	CDY30080.1	BnaC05g09400D	A0A078GUC8	
A06p09210.1_BnaDARv10-PA	CDY30079.1	BnaC05g09410D	A0A078GY86	
A06p09230.1_BnaDARv10-PA	CDY30075.1	BnaC05g09450D	A0A078GUC4	
A06p09240.1_BnaDARv10-PA	CDY30074.1	BnaC05g09460D	A0A078GY81	
A06p09250.1_BnaDARv10-PA	CDY30072.1	BnaC05g09480D	A0A078GXZ3	
A06p09280.1_BnaDARv10-PA	CDY30070.1	BnaC05g09500D	A0A078EBD9	
A06p09310.1_BnaDARv10-PA	CDY30057.1	BnaC05g09630D	A0A078GXY0	
A06p09320.1_BnaDARv10-PA	CDY30056.1	BnaC05g09640D	A0A078GX32	3.2.1.26
A06p09410.1_BnaDARv10-PA	CDY53347.1	BnaA06g38220D	A0A078ITL4	
A06p09420.1_BnaDARv10-PA	CDY53348.1	BnaA06g38230D	A0A078IWH4	
A06p09430.1_BnaDARv10-PA	CDY53350.1	BnaA06g38250D	A0A078IQF7	
A06p09440.1_BnaDARv10-PA	CDY53351.1	BnaA06g38260D	A0A078IU30	3.7.1.2
A06p09450.1_BnaDARv10-PA	CDY53352.1	BnaA06g38270D	A0A078ITL8	
A06p09460.1_BnaDARv10-PA	CDY53353.1	BnaA06g38280D	A0A078IWH7	
A06p09490.1_BnaDARv10-PA	CDY30042.1	BnaC05g09780D	A0A078GXW7	
A06p09500.1_BnaDARv10-PA	CDY30041.1	BnaC05g09790D	A0A078GX20	4.2.2.2
A06p09520.1_BnaDARv10-PA	CDY30039.1	BnaC05g09810D	A0A078GY57	
A06p09540.1_BnaDARv10-PA	CDY30036.1	BnaC05g09840D	A0A078GX16	
A06p09570.1_BnaDARv10-PA	CDY34617.1	BnaC08g41760D	A0A078HAB0	
A06p09590.1_BnaDARv10-PA	CDY30031.1	BnaC05g09890D	A0A078GX12	
A06p09600.1_BnaDARv10-PA	CDY30030.1	BnaC05g09900D	A0A078GU90	
A06p09610.1_BnaDARv10-PA	CDY30029.1	BnaC05g09910D	A0A078GY51	
A06p09660.1_BnaDARv10-PA	CDY37559.1	BnaA02g20110D	A0A078EFI1	
A06p09700.1_BnaDARv10-PA	CDY56180.1	BnaC05g49390D	A0A078J268	
A06p09710.1_BnaDARv10-PA	CDY56179.1	BnaC05g49380D	A0A078J011	
A06p09780.1_BnaDARv10-PA	CDY36404.1	BnaC05g10050D	A0A078HG62	
A06p09820.1_BnaDARv10-PA	CDY36409.1	BnaC05g10100D	A0A078HG68	
A06p09850.1_BnaDARv10-PA	CDY44309.1	BnaA07g07930D	A0A078I413	
A06p09900.1_BnaDARv10-PA	CDY36414.1	BnaC05g10150D	A0A078HG74	
A06p09970.1_BnaDARv10-PA	CDY36420.1	BnaC05g10210D	A0A078HDH5	
A06p09980.1_BnaDARv10-PA	CDY36422.1	BnaC05g10230D	A0A078HF45	
A06p10000.1_BnaDARv10-PA	CDY36424.1	BnaC05g10250D	A0A078HG88	
A06p10030.1_BnaDARv10-PA	CDY56000.1	BnaA06g38130D	A0A078J1R4	
A06p10050.1_BnaDARv10-PA	CDY56004.1	BnaA06g38160D	A0A078IZL4	2.4.1.-
A06p10060.1_BnaDARv10-PA	CDY56005.1	BnaA06g38170D	A0A078J1V9	2.4.1.-
A06p10070.1_BnaDARv10-PA	CDY56006.1	BnaA06g38180D	A0A078J1R9	2.4.1.-
A06p10090.1_BnaDARv10-PA	CDY65980.1	BnaCnng49220D	A0A078JHJ6	2.4.1.-
A06p10110.1_BnaDARv10-PA	CDY49110.1	BnaA06g08960D	A0A078IE49	
A06p10130.1_BnaDARv10-PA	CDY49110.1	BnaA06g08960D	A0A078IE49	
A06p10140.1_BnaDARv10-PA	CDY49109.1	BnaA06g08970D	A0A078IIB0	
A06p10150.1_BnaDARv10-PA	CDY49108.1	BnaA06g08980D	A0A078IJ52	
A06p10160.1_BnaDARv10-PA	CDY49107.1	BnaA06g08990D	A0A078IGL0	
A06p10170.1_BnaDARv10-PA	CDY49106.1	BnaA06g09000D	A0A078IGI2	
A06p10180.1_BnaDARv10-PA	CDY49105.1	BnaA06g09010D	A0A078IE44	
A06p10210.1_BnaDARv10-PA	CDY49104.1	BnaA06g09020D	A0A078IIA4	3.6.1.5
A06p10220.1_BnaDARv10-PA	CDY49103.1	BnaA06g09030D	A0A078IJ48	3.6.1.5
A06p10230.1_BnaDARv10-PA	CDY49102.1	BnaA06g09040D	A0A078IGK6	
A06p10240.1_BnaDARv10-PA	CDY49101.1	BnaA06g09050D	A0A078IGI0	
A06p10250.1_BnaDARv10-PA	CDY49100.1	BnaA06g09060D	A0A078IE39	
A06p10260.1_BnaDARv10-PA	CDY49099.1	BnaA06g09070D	A0A078II99	
A06p10280.1_BnaDARv10-PA	CDY49097.1	BnaA06g09090D	A0A078IGK1	
A06p10290.1_BnaDARv10-PA	CDY49096.1	BnaA06g09100D	A0A078IGH7	
A06p10300.1_BnaDARv10-PA	CDY49095.1	BnaA06g09110D	A0A078IE34	
A06p10310.1_BnaDARv10-PA	CDY49094.1	BnaA06g09120D	A0A078II96	
A06p10320.1_BnaDARv10-PA	CDY49093.1	BnaA06g09130D	A0A078IJ39	
A06p10340.1_BnaDARv10-PA	CDY49091.1	BnaA06g09150D	A0A078IGH3	
A06p10350.1_BnaDARv10-PA	CDY49090.1	BnaA06g09160D	A0A078IE29	
A06p10370.1_BnaDARv10-PA	CDY49089.1	BnaA06g09170D	A0A078II93	
A06p10400.1_BnaDARv10-PA	CDY49086.1	BnaA06g09200D	A0A078IGG9	
A06p10410.1_BnaDARv10-PA	CDY49085.1	BnaA06g09210D	A0A078IE26	
A06p10420.1_BnaDARv10-PA	CDY45252.1	BnaA06g09220D	A0A078I598	
A06p10430.1_BnaDARv10-PA	CDY45253.1	BnaA06g09230D	A0A078I7X6	
A06p10460.1_BnaDARv10-PA	CDY45257.1	BnaA06g09270D	A0A078I5A4	
A06p10470.1_BnaDARv10-PA	CDY45258.1	BnaA06g09280D	A0A078I7X8	
A06p10490.1_BnaDARv10-PA	CDY45259.1	BnaA06g09290D	A0A078I774	
A06p10510.1_BnaDARv10-PA	CDY45261.1	BnaA06g09310D	A0A078I5S0	
A06p10530.1_BnaDARv10-PA	CDY45264.1	BnaA06g09340D	A0A078I778	
A06p10560.1_BnaDARv10-PA	CDY65375.1	BnaC05g49670D	A0A078JFY4	
A06p10570.1_BnaDARv10-PA	CDY66453.1	BnaAnng22250D	A0A078JFR4	1.13.99.1
A06p10580.1_BnaDARv10-PA	CDY66454.1	BnaAnng22260D	A0A078JIB5	
A06p10590.1_BnaDARv10-PA	CDY66455.1	BnaAnng22270D	A0A078JJ08	1.11.1.7
A06p10600.1_BnaDARv10-PA	CDY45268.1	BnaA06g09380D	A0A078I7Y4	
A06p10610.1_BnaDARv10-PA	CDY45269.1	BnaA06g09390D	A0A078I784	
A06p10640.1_BnaDARv10-PA	CDY45271.1	BnaA06g09410D	A0A078I5T2	
A06p10650.1_BnaDARv10-PA	CDY45272.1	BnaA06g09420D	A0A078I5B9	
A06p10670.1_BnaDARv10-PA	CDY45274.1	BnaA06g09440D	A0A078I789	6.1.1.9
A06p10680.1_BnaDARv10-PA	CDY45275.1	BnaA06g09450D	A0A078I329	
A06p10690.1_BnaDARv10-PA	CDY41093.1	BnaC05g10840D	A0A078HWE7	
A06p10710.1_BnaDARv10-PA	CDY45278.1	BnaA06g09480D	A0A078I7Y9	
A06p10720.1_BnaDARv10-PA	CDY45279.1	BnaA06g09490D	A0A078I796	
A06p10740.1_BnaDARv10-PA	CDY45280.1	BnaA06g09500D	A0A078I334	
A06p10750.1_BnaDARv10-PA	CDY45281.1	BnaA06g09510D	A0A078I5U9	
A06p10760.1_BnaDARv10-PA	CDY45282.1	BnaA06g09520D	A0A078I5C8	
A06p10780.1_BnaDARv10-PA	CDY45283.1	BnaA06g09530D	A0A078I7Z2	
A06p10790.1_BnaDARv10-PA	CDY45284.1	BnaA06g09540D	A0A078I7A1	
A06p10800.1_BnaDARv10-PA	CDY45285.1	BnaA06g09550D	A0A078I341	
A06p10810.1_BnaDARv10-PA	CDY45286.1	BnaA06g09560D	A0A078I5V4	
A06p10820.1_BnaDARv10-PA	CDY45287.1	BnaA06g09570D	A0A078I5D2	
A06p10830.1_BnaDARv10-PA	CDY45288.1	BnaA06g09580D	A0A078I7Z6	
A06p10840.1_BnaDARv10-PA	CDY45289.1	BnaA06g09590D	A0A078I7A5	
A06p10850.1_BnaDARv10-PA	CDY45290.1	BnaA06g09600D	A0A078I346	2.7.7.48
A06p10860.1_BnaDARv10-PA	CDY45291.1	BnaA06g09610D	A0A078I5V9	1.2.1.11
A06p10870.1_BnaDARv10-PA	CDY45292.1	BnaA06g09620D	A0A078I5D7	
A06p10880.1_BnaDARv10-PA	CDY45293.1	BnaA06g09630D	A0A078I803	
A06p10890.1_BnaDARv10-PA	CDY45294.1	BnaA06g09640D	A0A078I7B0	
A06p10900.1_BnaDARv10-PA	CDY45295.1	BnaA06g09650D	A0A078I351	
A06p10910.1_BnaDARv10-PA	CDY45296.1	BnaA06g09660D	A0A078I5W3	
A06p10960.1_BnaDARv10-PA	CDY59555.1	BnaC01g43700D	A0A078J5J3	3.2.1.147
A06p10970.1_BnaDARv10-PA	CDY45301.1	BnaA06g09710D	A0A078I5W6	
A06p10980.1_BnaDARv10-PA	CDY68124.1	BnaUnng02720D	A0A078JMS7	
A06p10990.1_BnaDARv10-PA	CDY36519.1	BnaA06g09720D	A0A078HGK8	
A06p11000.1_BnaDARv10-PA	CDY36520.1	BnaA06g09730D	A0A078HDW9	
A06p11010.1_BnaDARv10-PA	CDY36521.1	BnaA06g09740D	A0A078HFI0	
A06p11020.1_BnaDARv10-PA	CDY36522.1	BnaA06g09750D	A0A078HFF7	3.4.16.-
A06p11040.1_BnaDARv10-PA	CDY36524.1	BnaA06g09770D	A0A078HGL3	1.8.3.2
A06p11050.1_BnaDARv10-PA	CDY36525.1	BnaA06g09780D	A0A078HDX3	
A06p11060.1_BnaDARv10-PA	CDY36526.1	BnaA06g09790D	A0A078HFI4	
A06p11070.1_BnaDARv10-PA	CDY36527.1	BnaA06g09800D	A0A078HFG2	
A06p11090.1_BnaDARv10-PA	CDY36528.1	BnaA06g09810D	A0A078HIC5	
A06p11130.1_BnaDARv10-PA	CDY68278.1	BnaA06g38320D	A0A078JLC5	
A06p11140.1_BnaDARv10-PA	CDY39615.1	BnaC05g11440D	A0A078HMA2	
A06p11150.1_BnaDARv10-PA	CDY36530.1	BnaA06g09830D	A0A078HDX6	
A06p11160.1_BnaDARv10-PA	CDY36531.1	BnaA06g09840D	A0A078HFJ0	
A06p11170.1_BnaDARv10-PA	CDY36532.1	BnaA06g09850D	A0A078HFG5	
A06p11180.1_BnaDARv10-PA	CDY36533.1	BnaA06g09860D	A0A078HIC9	
A06p11190.1_BnaDARv10-PA	CDY36534.1	BnaA06g09870D	A0A078HGM3	
A06p11200.1_BnaDARv10-PA	CDY36535.1	BnaA06g09880D	A0A078HDX9	
A06p11220.1_BnaDARv10-PA	CDY36537.1	BnaA06g09900D	A0A078HFG8	
A06p11230.1_BnaDARv10-PA	CDY36538.1	BnaA06g09910D	A0A078HID2	
A06p11240.1_BnaDARv10-PA	CDY36539.1	BnaA06g09920D	A0A078HGM7	
A06p11250.1_BnaDARv10-PA	CDY36540.1	BnaA06g09930D	A0A078HDY1	
A06p11280.1_BnaDARv10-PA	CDY36543.1	BnaA06g09960D	A0A078HID6	
A06p11290.1_BnaDARv10-PA	CDY36544.1	BnaA06g09970D	A0A078HGN2	
A06p11300.1_BnaDARv10-PA	CDY36545.1	BnaA06g09980D	A0A078HDY3	
A06p11320.1_BnaDARv10-PA	CDY36546.1	BnaA06g09990D	A0A078HFM1	
A06p11330.1_BnaDARv10-PA	CDY36547.1	BnaA06g10000D	A0A078HFH6	
A06p11350.1_BnaDARv10-PA	CDY36549.1	BnaA06g10020D	A0A078HGN5	
A06p11360.1_BnaDARv10-PA	CDY36550.1	BnaA06g10030D	A0A078HDY5	
A06p11410.1_BnaDARv10-PA	CDY36553.1	BnaA06g10060D	A0A078HIE2	
A06p11420.1_BnaDARv10-PA	CDY36555.1	BnaA06g10080D	A0A078HDY6	
A06p11430.1_BnaDARv10-PA	CDY36556.1	BnaA06g10090D	A0A078HFN3	3.5.1.88
A06p11440.1_BnaDARv10-PA	CDY36557.1	BnaA06g10100D	A0A078HFI5	
A06p11460.1_BnaDARv10-PA	CDY36558.1	BnaA06g10110D	A0A078HIE5	
A06p11480.1_BnaDARv10-PA	CDY36560.1	BnaA06g10130D	A0A078HDY8	
A06p11490.1_BnaDARv10-PA	CDY36561.1	BnaA06g10140D	A0A078HFN8	
A06p11500.1_BnaDARv10-PA	CDY36563.1	BnaA06g10160D	A0A078HIE8	
A06p11550.1_BnaDARv10-PA	CDY36567.1	BnaA06g10200D	A0A078HFJ4	
A06p11560.1_BnaDARv10-PA	CDY36568.1	BnaA06g10210D	A0A078HIF2	
A06p11570.1_BnaDARv10-PA	CDY36569.1	BnaA06g10220D	A0A078HGQ6	
A06p11580.1_BnaDARv10-PA	CDY36570.1	BnaA06g10230D	A0A078HDZ5	
A06p11590.1_BnaDARv10-PA	CDY36571.1	BnaA06g10240D	A0A078HFP7	
A06p11610.1_BnaDARv10-PA	CDY36572.1	BnaA06g10250D	A0A078HFJ8	
A06p11630.1_BnaDARv10-PA	CDY36573.1	BnaA06g10260D	A0A078HIF5	
A06p11640.1_BnaDARv10-PA	CDY36574.1	BnaA06g10270D	A0A078HGR0	
A06p11650.1_BnaDARv10-PA	CDY36575.1	BnaA06g10280D	A0A078HDZ9	
A06p11660.1_BnaDARv10-PA	CDY36576.1	BnaA06g10290D	A0A078HFQ3	
A06p11680.1_BnaDARv10-PA	CDY36578.1	BnaA06g10310D	A0A078HIF9	
A06p11690.1_BnaDARv10-PA	CDY36579.1	BnaA06g10320D	A0A078HGR3	
A06p11700.1_BnaDARv10-PA	CDY36581.1	BnaA06g10340D	A0A078HFQ8	7.1.3.1
A06p11720.1_BnaDARv10-PA	CDY36582.1	BnaA06g10350D	A0A078HFK5	
A06p11730.1_BnaDARv10-PA	CDY36583.1	BnaA06g10360D	A0A078HIG3	
A06p11740.1_BnaDARv10-PA	CDY36584.1	BnaA06g10370D	A0A078HGR5	
A06p11750.1_BnaDARv10-PA	CDY36585.1	BnaA06g10380D	A0A078HE08	
A06p11760.1_BnaDARv10-PA	CDY36586.1	BnaA06g10390D	A0A078HFR3	
A06p11790.1_BnaDARv10-PA	CDY36588.1	BnaA06g10410D	A0A078HIG5	
A06p11800.1_BnaDARv10-PA	CDY36589.1	BnaA06g10420D	A0A078HGR9	
A06p11820.1_BnaDARv10-PA	CDY36592.1	BnaA06g10450D	A0A078HFL4	
A06p11830.1_BnaDARv10-PA	CDY36593.1	BnaA06g10460D	A0A078HIG9	
A06p11850.1_BnaDARv10-PA	CDY36595.1	BnaA06g10480D	A0A078HE18	
A06p11870.1_BnaDARv10-PA	CDY35040.1	BnaA06g10500D	A0A078H9F1	
A06p11880.1_BnaDARv10-PA	CDY35041.1	BnaA06g10510D	A0A078HBF5	
A06p11890.1_BnaDARv10-PA	CDY35042.1	BnaA06g10520D	A0A078HBB1	
A06p11900.1_BnaDARv10-PA	CDY35043.1	BnaA06g10530D	A0A078HE14	
A06p11910.1_BnaDARv10-PA	CDY35044.1	BnaA06g10540D	A0A078HC74	
A06p11920.1_BnaDARv10-PA	CDY35045.1	BnaA06g10550D	A0A078H9F6	
A06p11930.1_BnaDARv10-PA	CDY35046.1	BnaA06g10560D	A0A078HBF8	
A06p11960.1_BnaDARv10-PA	CDY35051.1	BnaA06g10610D	A0A078HBG1	
A06p11970.1_BnaDARv10-PA	CDY33365.1	BnaC05g12180D	A0A078H3X6	
A06p12000.1_BnaDARv10-PA	CDY35057.1	BnaA06g10670D	A0A078HBC2	
A06p12010.1_BnaDARv10-PA	CDY35058.1	BnaA06g10680D	A0A078HE28	
A06p12020.1_BnaDARv10-PA	CDY35059.1	BnaA06g10690D	A0A078HC84	
A06p12050.1_BnaDARv10-PA	CDY35062.1	BnaA06g10720D	A0A078HBC6	
A06p12070.1_BnaDARv10-PA	CDY35065.1	BnaA06g10750D	A0A078H9H0	
A06p12080.1_BnaDARv10-PA	CDY35066.1	BnaA06g10760D	A0A078HBH1	
A06p12090.1_BnaDARv10-PA	CDY35067.1	BnaA06g10770D	A0A078HBD0	
A06p12100.1_BnaDARv10-PA	CDY35068.1	BnaA06g10780D	A0A078HE37	
A06p12110.1_BnaDARv10-PA	CDY35069.1	BnaA06g10790D	A0A078HC89	
A06p12120.1_BnaDARv10-PA	CDY35070.1	BnaA06g10800D	A0A078H9H3	
A06p12130.1_BnaDARv10-PA	CDY35071.1	BnaA06g10810D	A0A078HBH3	
A06p12140.1_BnaDARv10-PA	CDY35072.1	BnaA06g10820D	A0A078HBD5	
A06p12150.1_BnaDARv10-PA	CDY35073.1	BnaA06g10830D	A0A078HE42	
A06p12170.1_BnaDARv10-PA	CDY35075.1	BnaA06g10850D	A0A078H9H9	
A06p12180.1_BnaDARv10-PA	CDY35076.1	BnaA06g10860D	A0A078HBH7	
A06p12190.1_BnaDARv10-PA	CDY35077.1	BnaA06g10870D	A0A078HBE0	
A06p12200.1_BnaDARv10-PA	CDY35078.1	BnaA06g10880D	A0A078HE44	
A06p12210.1_BnaDARv10-PA	CDY35079.1	BnaA06g10890D	A0A078HC98	
A06p12220.1_BnaDARv10-PA	CDY35080.1	BnaA06g10900D	A0A078H9I5	1.2.1.-
A06p12230.1_BnaDARv10-PA	CDY35081.1	BnaA06g10910D	A0A078HBH8	
A06p12240.1_BnaDARv10-PA	CDY35082.1	BnaA06g10920D	A0A078HBE5	
A06p12250.1_BnaDARv10-PA	CDY35083.1	BnaA06g10930D	A0A078HE50	
A06p12260.1_BnaDARv10-PA	CDY35084.1	BnaA06g10940D	A0A078HCA2	1.1.1.205
A06p12290.1_BnaDARv10-PA	CDY35085.1	BnaA06g10950D	A0A078H9I7	
A06p12320.1_BnaDARv10-PA	CDY35087.1	BnaA06g10970D	A0A078HBF1	
A06p12330.1_BnaDARv10-PA	CDY35088.1	BnaA06g10980D	A0A078HE55	
A06p12340.1_BnaDARv10-PA	CDY35089.1	BnaA06g10990D	A0A078HCA4	
A06p12350.1_BnaDARv10-PA	CDY35091.1	BnaA06g11010D	A0A078HBI6	
A06p12360.1_BnaDARv10-PA	CDY35092.1	BnaA06g11020D	A0A078HBF6	
A06p12370.1_BnaDARv10-PA	CDY35093.1	BnaA06g11030D	A0A078HE60	
A06p12380.1_BnaDARv10-PA	CDY35094.1	BnaA06g11040D	A0A078HCA7	
A06p12400.1_BnaDARv10-PA	CDY35096.1	BnaA06g11060D	A0A078HBI9	
A06p12420.1_BnaDARv10-PA	CDY35098.1	BnaA06g11080D	A0A078HE65	
A06p12470.1_BnaDARv10-PA	CDY35102.1	BnaA06g11120D	A0A078HBG8	
A06p12480.1_BnaDARv10-PA	CDY68470.1	BnaAnng27380D	A0A078JPU8	
A06p12490.1_BnaDARv10-PA	CDY67811.1	BnaA06g38360D	A0A078JQ79	
A06p12520.1_BnaDARv10-PA	CDY40055.1	BnaC05g12600D	A0A078HNH4	
A06p12530.1_BnaDARv10-PA	CDY66794.1	BnaA06g38340D	A0A078JJD7	
A06p12540.1_BnaDARv10-PA	CDY66793.1	BnaA06g38330D	A0A078JGT5	2.8.1.9
A06p12550.1_BnaDARv10-PA	CDY68708.1	BnaA06g38370D	A0A078JMG5	
A06p12580.1_BnaDARv10-PA	CDY35103.1	BnaA06g11130D	A0A078HE70	5.4.99.-
A06p12590.1_BnaDARv10-PA	CDY35104.1	BnaA06g11140D	A0A078HCB5	
A06p12610.1_BnaDARv10-PA	CDY40046.1	BnaC05g12690D	A0A078HQY2	
A06p12620.1_BnaDARv10-PA	CDY35106.1	BnaA06g11160D	A0A078HBJ5	
A06p12640.1_BnaDARv10-PA	CDY35109.1	BnaA06g11190D	A0A078HCB7	
A06p12650.1_BnaDARv10-PA	CDY35110.1	BnaA06g11200D	A0A078H9K5	
A06p12660.1_BnaDARv10-PA	CDY35111.1	BnaA06g11210D	A0A078HBJ9	
A06p12670.1_BnaDARv10-PA	CDY35112.1	BnaA06g11220D	A0A078HBH9	
A06p12680.1_BnaDARv10-PA	CDY35113.1	BnaA06g11230D	A0A078HE81	2.3.1.48
A06p12690.1_BnaDARv10-PA	CDY35114.1	BnaA06g11240D	A0A078HCC1	
A06p12700.1_BnaDARv10-PA	CDY40036.1	BnaC05g12790D	A0A078HQX7	
A06p12710.1_BnaDARv10-PA	CDY35116.1	BnaA06g11260D	A0A078HBK1	
A06p12720.1_BnaDARv10-PA	CDY35117.1	BnaA06g11270D	A0A078HBI7	
A06p12730.1_BnaDARv10-PA	CDY35118.1	BnaA06g11280D	A0A078HE86	
A06p12750.1_BnaDARv10-PA	CDY35121.1	BnaA06g11310D	A0A078HBK5	
A06p12760.1_BnaDARv10-PA	CDY35122.1	BnaA06g11320D	A0A078HBJ3	
A06p12770.1_BnaDARv10-PA	CDY35123.1	BnaA06g11330D	A0A078HE91	
A06p12780.1_BnaDARv10-PA	CDY35124.1	BnaA06g11340D	A0A078HCC6	
A06p12790.1_BnaDARv10-PA	CDY35126.1	BnaA06g11360D	A0A078HBK8	
A06p12800.1_BnaDARv10-PA	CDY35127.1	BnaA06g11370D	A0A078HBJ8	2.4.1.-
A06p12810.1_BnaDARv10-PA	CDY35128.1	BnaA06g11380D	A0A078HE97	
A06p12820.1_BnaDARv10-PA	CDY35129.1	BnaA06g11390D	A0A078HCD0	
A06p12830.1_BnaDARv10-PA	CDY35130.1	BnaA06g11400D	A0A078H9L9	
A06p12860.1_BnaDARv10-PA	CDY35133.1	BnaA06g11430D	A0A078HEA2	
A06p12870.1_BnaDARv10-PA	CDY35134.1	BnaA06g11440D	A0A078HCD4	
A06p12880.1_BnaDARv10-PA	CDY35135.1	BnaA06g11450D	A0A078H9M2	2.4.1.15
A06p12890.1_BnaDARv10-PA	CDY35136.1	BnaA06g11460D	A0A078HBL6	
A06p12900.1_BnaDARv10-PA	CDY35137.1	BnaA06g11470D	A0A078HBK9	
A06p12910.1_BnaDARv10-PA	CDY35138.1	BnaA06g11480D	A0A078HEA7	
A06p12920.1_BnaDARv10-PA	CDY40001.1	BnaC05g13140D	A0A078HQT8	
A06p12940.1_BnaDARv10-PA	CDY66847.1	BnaAnng23100D	A0A078JNC0	
A06p12950.1_BnaDARv10-PA	CDY66846.1	BnaAnng23090D	A0A078JM70	
A06p12960.1_BnaDARv10-PA	CDY67933.1	BnaAnng25600D	A0A078JK92	
A06p12970.1_BnaDARv10-PA	CDY67932.1	BnaAnng25590D	A0A078JR95	
A06p12990.1_BnaDARv10-PA	CDY65123.1	BnaA06g38390D	A0A078JBV9	
A06p13000.1_BnaDARv10-PA	CDY65124.1	BnaA06g38400D	A0A078JEK3	
A06p13010.1_BnaDARv10-PA	CDY65125.1	BnaA06g38410D	A0A078JF74	
A06p13020.1_BnaDARv10-PA	CDY65126.1	BnaA06g38420D	A0A078JHG5	
A06p13030.1_BnaDARv10-PA	CDY65127.1	BnaA06g38430D	A0A078JIB0	
A06p13040.1_BnaDARv10-PA	CDY65128.1	BnaA06g38440D	A0A078JBW2	
A06p13050.1_BnaDARv10-PA	CDY65129.1	BnaA06g38450D	A0A078JEK9	
A06p13060.1_BnaDARv10-PA	CDY69410.1	BnaAnng30380D	A0A078JSM0	
A06p13070.1_BnaDARv10-PA	CDY69411.1	BnaAnng30390D	A0A078JUZ7	2.7.1.15
A06p13090.1_BnaDARv10-PA	CDY26267.1	BnaA06g11500D	A0A078GM52	2.5.1.18
A06p13100.1_BnaDARv10-PA	CDY26266.1	BnaA06g11510D	A0A078GLP1	2.5.1.18
A06p13120.1_BnaDARv10-PA	CDY26265.1	BnaA06g11520D	A0A078GIG4	
A06p13130.1_BnaDARv10-PA	CDY26264.1	BnaA06g11530D	A0A078GLZ9	
A06p13160.1_BnaDARv10-PA	CDY26261.1	BnaA06g11560D	A0A078GLN5	
A06p13190.1_BnaDARv10-PA	CDY19189.1	BnaC05g13900D	A0A078G146	3.6.4.12
A06p13210.1_BnaDARv10-PA	CDY26260.1	BnaA06g11570D	A0A078GIF9	
A06p13220.1_BnaDARv10-PA	CDY26259.1	BnaA06g11580D	A0A078GLZ1	
A06p13230.1_BnaDARv10-PA	CDY26258.1	BnaA06g11590D	A0A078GNP4	
A06p13240.1_BnaDARv10-PA	CDY26257.1	BnaA06g11600D	A0A078GM44	
A06p13250.1_BnaDARv10-PA	CDY26256.1	BnaA06g11610D	A0A078GLN0	2.6.1.2
A06p13260.1_BnaDARv10-PA	CDY26255.1	BnaA06g11620D	A0A078GIF6	
A06p13270.1_BnaDARv10-PA	CDY26254.1	BnaA06g11630D	A0A078GLY5	
A06p13300.1_BnaDARv10-PA	CDY26252.1	BnaA06g11650D	A0A078GM40	
A06p13310.1_BnaDARv10-PA	CDY26251.1	BnaA06g11660D	A0A078GLM5	
A06p13320.1_BnaDARv10-PA	CDY26250.1	BnaA06g11670D	A0A078GIF2	
A06p13340.1_BnaDARv10-PA	CDY26248.1	BnaA06g11690D	A0A078GNN7	
